x,y
8.329373344137872e-05,2.2024183122253653e-05
8.942655915820334e-05,2.231841949851757e-05
9.003684745219776e-05,2.4704342082106134e-05
4.2256959766519796e-05,2.345038695760786e-05
2.4270111141210665e-07,2.243122828308533e-05
-3.531328429797354e-05,2.1202557205371095e-05
-7.093993874785886e-05,1.9835169992071908e-05
-0.00011406277183334448,1.7951726568563646e-05
-0.00014969141140417763,1.62071513201157e-05
-0.0001890820564357451,1.4080120320998147e-05
-0.00022661322985719108,1.1859749010196066e-05
-0.00026228943633981646,9.574007550681882e-06
-0.0003017455231764587,6.847061351292601e-06
-0.00033747418366774414,4.197699878286809e-06
-0.0003769995681478363,1.0672782627080095e-06
-0.0004146780946809791,-2.1121374199995564e-06
-0.0004505057410378009,-5.312233545613234e-06
-0.00048826144262213017,-8.870734369657548e-06
-0.000527953216812177,-1.2818010707570354e-05
-0.0005639080180214352,-1.6576266140429328e-05
-0.0005980091351831919,-2.0301225966886717e-05
-0.000639745893873998,-2.507247660986253e-05
-0.0006796467754987415,-2.9852502588084185e-05
-0.0007157998573629788,-3.436819988788132e-05
-0.0007520034908721912,-3.9066194311452164e-05
-0.000786349123676082,-4.368592230210059e-05
-0.0008322165720531941,-5.010276652103252e-05
-0.0008685889419351644,-5.53924349652044e-05
-0.0009011790456676235,-6.0283264553166e-05
-0.0009414992067808383,-6.653202342258874e-05
-0.0009818961735142545,-7.30116528158734e-05
-0.0010204533065321549,-7.9400082541186e-05
-0.001061026507829384,-8.633775582284184e-05
-0.001101691669598068,-9.351249149017193e-05
-0.0011385645870867394,-0.00010020968902590586
-0.001177462405601611,-0.0001074721096122577
-0.0012164493566759107,-0.00011495403763955999
-0.0012574589122107535,-0.0001230452241199392
-0.0012926509307190264,-0.00013017225434863288
-0.0013357672891095148,-0.00013913759934714473
-0.0013810075679744392,-0.0001488069399949828
-0.001414553245049811,-0.00015615162726230058
-0.001450171670990024,-0.00016411685163783877
-0.0014898737805330116,-0.00017319510417375806
-0.0015396977416206542,-0.00018488054894838968
-0.001575705707939831,-0.00019352942412367564
-0.0016098212227269254,-0.0002018804794812277
-0.001652114666254638,-0.00021244364677091925
-0.0016925490237108152,-0.00022276134084403185
-0.0017331406653225846,-0.00023333282579055925
-0.0017698105777110146,-0.0002430664903803313
-0.001812756305980801,-0.0002546880913715233
-0.0018558817023867774,-0.00026659850768403505
-0.0018991941859899239,-0.00027880083240597385
-0.0019406171754282652,-0.00029069703344634544
-0.0019780428790579932,-0.0003016349244608159
-0.0020260708216194817,-0.0003159333940710484
-0.0020638215534965767,-0.0003273784354590821
-0.0021059350164173915,-0.0003403606187022789
-0.002148226506248205,-0.00035362462972704403
-0.002192830771648866,-0.00036785845891730475
-0.0022290883592810786,-0.00037961351728995913
-0.0022740619038339855,-0.0003944246097198076
-0.002323555263801382,-0.0004110176166225454
-0.002362465386328902,-0.00042428469389368994
-0.002403693197964194,-0.00043857784452954796
-0.002449456518846387,-0.0004546984706744349
-0.0024954341042123756,-0.0004711593630880144
-0.002537221918946264,-0.0004863555686775499
-0.002581402797670493,-0.0005026619871863834
-0.0026235560813245764,-0.0005184563535081464
-0.0026703042578104935,-0.0005361582378063175
-0.0027149297693353815,-0.0005531684951363702
-0.0027619888380128726,-0.0005714112650635999
-0.002806943429724085,-0.0005890819624524905
-0.0028520761672993005,-0.0006070772503521176
-0.0028951431887422998,-0.0006244728932037046
-0.0029407115680861666,-0.000643122301356807
-0.002988832778279556,-0.0006630886949844832
-0.003034994279460087,-0.0006825001411927313
-0.003090966355588717,-0.0007063711546796531
-0.003126389999451891,-0.0007216611119699502
-0.003174535795496769,-0.0007426203671716497
-0.0032199856271890133,-0.0007626866039502419
-0.0032776882342755716,-0.0007884006193670193
-0.003342790092714374,-0.0008177181573516871
-0.003425554242217146,-0.000855280745757877
-0.0034963063469324374,-0.0008876703808301644
-0.0035919596272132445,-0.0009318037518870489
-0.0037030725545145853,-0.0009834469149399656
-0.003845229196844804,-0.0010501337037475888
-0.003967184290807703,-0.0011088410434250016
-0.0041101656993239605,-0.001177270389855177
-0.004226248858905976,-0.0012332028377640273
-0.004363218001862616,-0.0012997053708339197
-0.004514387239862401,-0.0013739039972628518
-0.004659116711686447,-0.0014456130970838662
-0.004790428995694223,-0.0015112798246760119
-0.0049359158894913035,-0.0015846955380117412
-0.005067891538797915,-0.0016519141068031956
-0.0052141347450196975,-0.0017269514274087174
-0.005339527026715431,-0.001791876642321542
-0.005492293452914885,-0.0018719518870577317
-0.005622806861034206,-0.0019408139769424568
-0.005757152116247655,-0.002012442889774154
-0.005904753856664666,-0.002091914134241105
-0.006013413050892797,-0.002150941865455347
-0.006126232136056573,-0.0022129089152729776
-0.006224195524223616,-0.0022673640445627892
-0.006324655509456685,-0.0023240661774782435
-0.00640068620483897,-0.00236756337740362
-0.006466424310794715,-0.002405878859244484
-0.006524506317501715,-0.0024405369062433773
-0.006571549223365813,-0.0024691349079762675
-0.006623695954650508,-0.002501011431737545
-0.006667343840844749,-0.002528041702101814
-0.006713594362563345,-0.0025570305825085115
-0.006771741127185581,-0.0025938954326014435
-0.00681519281994961,-0.002621793477096534
-0.0068633080501033,-0.0026530183776716457
-0.006911222118388205,-0.0026844653714197136
-0.006966061170281989,-0.002720901755476002
-0.007004034531557668,-0.002746410477197962
-0.007053646511335141,-0.002780115035262951
-0.007103008934597253,-0.0028140440219531033
-0.007145111007032997,-0.002843288642577343
-0.007193973378272288,-0.00287758609009641
-0.007237926150440748,-0.002908765876245644
-0.007283924561639453,-0.0029417374843383826
-0.007334198117215134,-0.0029781768751204153
-0.007375066789278456,-0.0030081121827454597
-0.007422440953265917,-0.0030431686109501717
-0.0074627800299787855,-0.0030733241294001526
-0.007511738879826123,-0.0031103038852027614
-0.0075559078249489925,-0.0031440275547464465
-0.007595380956203298,-0.0031744601936745127
-0.007638910310401963,-0.003208382932736181
-0.007688554351110684,-0.003247528752939975
-0.007729222979645805,-0.0032799492262978224
-0.0077738137312025005,-0.0033158654103869357
-0.007818021335161015,-0.0033518576021962466
-0.007853518189533453,-0.0033810395624730757
-0.007894942472728638,-0.003415415356259264
-0.007946202961313811,-0.003458441049865822
-0.007976676365902923,-0.0034842783520331122
-0.008020972345209145,-0.0035221840136652922
-0.008058833009255415,-0.003554918294892061
-0.008096324456146041,-0.00358763834481445
-0.008137306956074288,-0.0036237655316037573
-0.008172190241909547,-0.003654583207628576
-0.008216683925328191,-0.003693927474146157
-0.008254958525244485,-0.0037281327765667826
-0.008292684705719347,-0.0037621561274144245
-0.008326170662383921,-0.0037926358785235117
-0.008362760226955226,-0.0038263228458080183
-0.00840204440200298,-0.0038628729764052525
-0.00843490644260283,-0.0038937471996519394
-0.008464754094815077,-0.003922062052003332
-0.008500231268186342,-0.003956136008991393
-0.008528870956541548,-0.003983911056807002
-0.0085488617831521,-0.004003463078931294
-0.008563792349639306,-0.0040183806927081645
-0.008568815225936022,-0.004023750626366347
-0.00856110926153687,-0.0040165550358629105
-0.008541111056518825,-0.0039970022543027815
-0.008508509492187533,-0.003964853566328128
-0.00847116830300134,-0.003927884994029265
-0.008424782056756532,-0.0038816841829675637
-0.008374359896903435,-0.0038308827308216054
-0.008326569766091732,-0.0037823380320126275
-0.008273450556305744,-0.0037279426081315045
-0.008226203205577414,-0.0036793604045523183
-0.008177260437601771,-0.003628537374944862
-0.008137601982559282,-0.003587306358022335
-0.008100530601695133,-0.0035487646090585226
-0.008074340709823921,-0.0035217982885151857
-0.008054614832579455,-0.003501817295328405
-0.008044470127242095,-0.0034925232403665747
-0.008044622708999236,-0.0034948593185481183
-0.008057528669202181,-0.003512129596662283
-0.00807602638900301,-0.003535280729087521
-0.008097574846919094,-0.003562437017793822
-0.008123828457764624,-0.0035940504034297728
-0.008146276886534702,-0.0036215080083332163
-0.008172292732576827,-0.0036535488932813893
-0.00819698558876536,-0.0036843143935487693
-0.008221504907181902,-0.003715130699305118
-0.008247066561164376,-0.00374757920649623
-0.00826994336294285,-0.003776914315878497
-0.008296171020630566,-0.003810871962763093
-0.008317408219116302,-0.0038386335754178064
-0.00834193216357451,-0.0038709946757177027
-0.00836388338682195,-0.0039002437757463294
-0.008387881063995012,-0.003932534426098358
-0.008409353081288071,-0.003961713124200548
-0.008431708795906608,-0.003992387874423165
-0.008453811849940108,-0.004023020124110938
-0.008476750283536906,-0.004055138637145377
-0.008497271112397325,-0.004084161928910545
-0.008518632305388853,-0.004114673456930622
-0.008538669883418067,-0.004143611110726586
-0.008559522211632187,-0.004174032008452156
-0.008580137353788403,-0.004204417457598725
-0.008600519261732754,-0.004234770103413998
-0.008623672137613836,-0.00426963539477079
-0.008640590129766425,-0.004295378597384948
-0.008660289003394318,-0.00432564434600746
-0.008681709482221935,-0.004358918577475209
-0.008700008994394872,-0.004387651692330397
-0.008719074949978624,-0.004417896218157558
-0.008737948529422238,-0.004448153140549381
-0.008757563852134727,-0.004479941586438945
-0.008776054530576472,-0.0045102361187118415
-0.008793450670658997,-0.004539036335579017
-0.008809780236419238,-0.004566341257482693
-0.008829541279033383,-0.004599743733769821
-0.008847319857244264,-0.004630140983253875
-0.008864923353634035,-0.004660570924476407
-0.008881486427953455,-0.004689512132291895
