x,y
0.00025423633399819165,4.5644023098546464e-05
0.0002279213158253605,4.7784110145697334e-05
0.00018410729303828047,4.6151751969865105e-05
0.00013965709275771867,4.495076259375626e-05
8.899215063926016e-05,4.323662614833635e-05
5.862532219919753e-05,4.205681911698322e-05
2.0182987519698492e-05,4.039984106118103e-05
-2.2282509973990325e-05,3.835681786376919e-05
-6.271152805488022e-05,3.62043100469224e-05
-0.00010111383855008777,3.397224206909901e-05
-0.0001415350459030209,3.1425315407407296e-05
-0.00018196058414450978,2.8675493182252936e-05
-0.00022441700783906986,2.556919402755685e-05
-0.0002608167597085648,2.272770779824181e-05
-0.0003012785856969895,1.937611593522999e-05
-0.0003417580451420344,1.5819261419650825e-05
-0.00038225456921729857,1.205669374643967e-05
-0.00042885038460922266,7.474654242786184e-06
-0.00046331259399795977,3.911758200774893e-06
-0.0005059080830351797,-6.969071028034698e-07
-0.0005464999185940331,-5.299825889939287e-06
-0.0005871183810687635,-1.0111957945675297e-05
-0.0006359005253227003,-1.6164076344227262e-05
-0.0006704800644169867,-2.0634846605481797e-05
-0.0007091523819702803,-2.5812567988318003e-05
-0.0007478502370028596,-3.1181870639372905e-05
-0.0007906507395923834,-3.73399465239347e-05
-0.0008314411101831383,-4.34237337647393e-05
-0.0008702168058903918,-4.940182336485668e-05
-0.0009151446830423576,-5.65662331365375e-05
-0.0009519271615107561,-6.262214117212501e-05
-0.000994866104616493,-6.990891427303297e-05
-0.001035785990826995,-7.707123985787147e-05
-0.0010746826870623692,-8.4077225604833e-05
-0.001117699213197103,-9.205019457406323e-05
-0.0011545914669526675,-9.907661073851046e-05
-0.0011997078625677867,-0.00010790654549028245
-0.0012407471088785515,-0.00011616566346257014
-0.0012818092199690925,-0.00012464646068539604
-0.0013208391465965846,-0.00013290928321408257
-0.0013660568656280996,-0.00014272854312448902
-0.0014092441669277655,-0.00015235451381922875
-0.0014462810579694589,-0.00016080282806943782
-0.0014833355442266504,-0.0001694341090619012
-0.0015245277068682778,-0.00017923980758667427
-0.0015719252488203108,-0.00019079780113006196
-0.0016111018877400683,-0.00020057378322615614
-0.0016503007347117788,-0.00021055738389322092
-0.0016957162028837488,-0.00022237809119581204
-0.0017370283897619179,-0.00023336807839027026
-0.0017721627530628854,-0.00024289300766847468
-0.001815588157158595,-0.00025489286287163075
-0.0018569705431055981,-0.00026656260288547323
-0.001902519304758486,-0.0002796726059910563
-0.0019460253434528717,-0.000292455163967572
-0.0019854114350840923,-0.0003042474669609405
-0.002028970017852674,-0.000317533519480931
-0.0020684131535599714,-0.0003297857702382488
-0.002107891628035579,-0.0003422605063368076
-0.00215156626072688,-0.000356308359465794
-0.002193200885962394,-0.00036994250504915685
-0.002230705345653187,-0.00038242736289875864
-0.0022703277878283147,-0.0003958271386831642
-0.0023162508230883607,-0.0004116283165812235
-0.002355950514129574,-0.00042552291814837136
-0.0024019498252762124,-0.00044189592184591567
-0.002439578196291303,-0.00045551281463787553
-0.002493980423260829,-0.00047556101299020916
-0.002527505281670339,-0.00048812112644722617
-0.002567369781033965,-0.0005032637970509713
-0.0026072869672025614,-0.0005186558311810828
-0.0026535808489131854,-0.000536786821358099
-0.002695742384671868,-0.0005535608841404148
-0.002735867962630942,-0.000569756597706886
-0.0027781786388460968,-0.0005870811313019619
-0.0028184432691983428,-0.000603803660038287
-0.00286303220955092,-0.0006225890190514672
-0.002905579597342792,-0.0006407778196114715
-0.0029460729566667156,-0.0006583282113691133
-0.0029887804432341385,-0.0006770902918832281
-0.0030315703312583727,-0.0006961500056206129
-0.003074441153521291,-0.0007155089938321504
-0.003121694286102346,-0.000737152106978878
-0.0031604323818695355,-0.0007551336024853006
-0.003203552204258666,-0.0007754035443477449
-0.0032575643059354047,-0.000801172821106165
-0.0032921995493005373,-0.0008179188845840535
-0.003335567388917193,-0.0008391315824004008
-0.0033790089698857656,-0.0008606548233135896
-0.003422456347984002,-0.0008824489378109679
-0.0034703022981061745,-0.0009067760161422743
-0.0035094891652855138,-0.0009269574687882753
-0.003548711462566275,-0.000947386847244274
-0.0035966811852805023,-0.0009727241450756012
-0.003638144035820715,-0.0009949127027573603
-0.003679649768654267,-0.0010173825583275197
-0.0037233803524045522,-0.0010413466127020686
-0.0037693434957890067,-0.0010668529372334147
-0.003810973229645211,-0.0010902353237620256
-0.003854847665838481,-0.0011151652766283552
-0.003907565965205409,-0.0011455145947539716
-0.003942758841067833,-0.0011660135503604777
-0.003986816484503835,-0.001191943174864452
-0.004030951186765955,-0.0012182146407405197
-0.004081824737677784,-0.0012488658542623068
-0.004119526695982436,-0.0012718308922731957
-0.004164013258244092,-0.0012992018928948343
-0.004208580209804368,-0.0013268451382364614
-0.004257573140445396,-0.0013575053903437714
-0.0043001027645808,-0.0013844267380522845
-0.004345248206339552,-0.0014132788025559158
-0.004388604896754864,-0.0014412562267532908
-0.004437667611095122,-0.0014731311645476489
-0.004492323939154923,-0.0015090756955161537
-0.004547085842850998,-0.0015453443324686005
-0.00462882924917122,-0.0015998316890086912
-0.00462882924917122,-0.0015998316890086912
-0.004796366218084065,-0.0017125724328486934
-0.004844408083955294,-0.0017451038318208783
-0.004969041608223074,-0.0018299471232948025
-0.005101909487270392,-0.001921243068300711
-0.005259144761504419,-0.0020299148108262597
-0.005362479239577283,-0.002102318576513596
-0.005510464409514408,-0.002205643583580092
-0.005658461529041684,-0.0023094869426774287
-0.005806529998096926,-0.0024140835267958995
-0.005947171688209383,-0.0025140635706722156
-0.006102640267453562,-0.002625398584002684
-0.00625055037961627,-0.0027320557941145586
-0.00639814927988474,-0.002839473908370847
-0.0065668478855622735,-0.002963078702727363
-0.006709912454636351,-0.0030689174693772515
-0.006855102414621081,-0.0031772153075084585
-0.006986764255054544,-0.0032758376513516954
-0.007098329871821404,-0.0033596185832005685
-0.007235662435232216,-0.0034629344865943017
-0.00730841016032056,-0.0035183437433418813
-0.0074148721032331055,-0.0036002978115779773
-0.007496565476795481,-0.0036647497212713284
-0.007555583805198882,-0.003711959019317387
-0.00760724061035043,-0.0037542998728542156
-0.007652045209848585,-0.003792531911458578
-0.0076857509550763824,-0.003819949262105022
-0.007724912918333332,-0.003853296838704942
-0.007762836491493895,-0.0038853445531133956
-0.007803906691103173,-0.003920617737362711
-0.007843995053008531,-0.0039554114647270995
-0.007883070118762825,-0.003989739265098865
-0.007917558476381006,-0.004020376105317266
-0.007954380122070157,-0.0040535046024426525
-0.007987532987410104,-0.004083766201623269
-0.008016424050700563,-0.004110472210914115
-0.008042797330114145,-0.00413509596941781
-0.008063318638043427,-0.004154642087989808
-0.008073755791155917,-0.004165131263898399
-0.008071420280952675,-0.004163901267104225
-0.008055290010536325,-0.0041495894284521405
-0.008029382227291512,-0.0041260429727610765
-0.007998727557499445,-0.004097836032360634
-0.007939988663337302,-0.004043381526150596
-0.007900464548240777,-0.0040063399210301396
-0.007856557397132072,-0.003964822713512057
-0.007809394074384522,-0.0039197503794268125
-0.007760133802550653,-0.003872476922905501
-0.007710744301620319,-0.003824730612138552
-0.007668339556196483,-0.003783459622147208
-0.007635613611722828,-0.0037516354743363503
-0.007605230149091271,-0.003722328954679349
-0.007583618028793373,-0.0037019259042688777
-0.0075729694659725155,-0.003692708014320526
-0.007572501024638803,-0.003694675955069981
-0.007587219326971978,-0.0037127516018402454
-0.007608514754181201,-0.0037377796309119252
-0.0076282684159952275,-0.0037620826431386933
-0.007649002705502021,-0.0037870410065260467
-0.007680692285191701,-0.0038235765269876753
-0.007705140685945256,-0.0038519626565221557
-0.007733518700898126,-0.003885238401340505
-0.007759286653932765,-0.003915642017325627
-0.007788973435174571,-0.003950918804070742
